"sbj" "order" "orderCond" "Cond" "Trial" "summed_BC" "first" "second" "third" "fourth" "hemisph"
"sbj_02" 15 5 "1" 5 -0.18203474804759 -0.0276318982243538 -0.075384832918644 -0.0421068727970123 -0.0369111441075802 "Right"
"sbj_02" 5 1 "2" 1 -0.0589904673397541 0.00262607038021088 -0.0461368657648563 -0.0180881530046463 0.00260848104953766 "Left"
"sbj_02" 5 1 "2" 1 -0.0244848527014256 -0.0555260255932808 0.0285751432180405 0.0319215223193169 -0.0294554926455021 "Right"
"sbj_02" 6 2 "2" 2 -0.0696397542953491 -0.103135918080807 0.0246891796588898 0.0228796154260635 -0.0140726312994957 "Right"
"sbj_02" 6 2 "2" 2 -0.038497456908226 -0.0465472370386124 0.0473829552531242 0.018011686950922 -0.0573448620736599 "Left"
"sbj_02" 7 3 "2" 3 0.0751037620007992 -0.000347322225570679 0.0388433247804642 0.0396682687103748 -0.00306050926446915 "Left"
"sbj_02" 7 3 "2" 3 0.0130305334925652 0.141785448789597 -0.0608414441347122 -0.0377917528152466 -0.0301217183470726 "Right"
"sbj_02" 8 4 "2" 4 0.0054837130010128 0.00595676302909851 0.0179131239652634 -0.00229371190071106 -0.016092462092638 "Right"
"sbj_02" 8 4 "2" 4 0.0631102330982685 -0.0201810598373413 0.00360065698623657 0.0546882376074791 0.0250023983418942 "Left"
"sbj_02" 16 5 "2" 5 0.0622800260782242 0.00407070219516754 -0.0339757144451141 0.0605135634541512 0.0316714748740196 "Right"
"sbj_02" 16 5 "2" 5 0.180400163680315 0.12667364180088 0.0643703237175941 -0.0291486866772175 0.0185048848390579 "Left"
"sbj_02" 3 1 "3" 1 0.162454897165298 0.173879733681679 0.0342000991106033 -0.00450193583965301 -0.0411229997873306 "Left"
"sbj_02" 3 1 "3" 1 -0.0425514683127403 0.0321019530296326 -0.049842868745327 -0.00717090368270874 -0.0176396489143372 "Right"
"sbj_02" 4 2 "3" 2 -0.0340461827814579 0.0213886648416519 0.0299435332417488 -0.0404018856585026 -0.044976495206356 "Right"
"sbj_02" 4 2 "3" 2 0.335003350675106 0.00254210233688355 0.236024588346481 0.0403725817799568 0.0560640782117844 "Left"
"sbj_02" 13 3 "3" 3 0.082680569589138 0.118861106038094 0.0321388646960259 -0.039447084069252 -0.0288723170757294 "Right"
"sbj_02" 13 3 "3" 3 0.120560754835606 0.076304167509079 0.0267210423946381 0.0503114819526672 -0.0327759370207787 "Left"
"sbj_02" 14 4 "3" 4 0.0583663672208786 0.000557079911231995 0.0191128358244896 -0.0100632235407829 0.0487596750259399 "Right"
"sbj_02" 14 4 "3" 4 0.359300272166729 0.00631046444177628 0.0437269613146782 0.13799033164978 0.171272514760494 "Left"
"sbj_02" 17 5 "3" 5 0.0565825141966343 -0.055028960108757 0.0434274196624756 -0.00039646252989769 0.0685805171728134 "Right"
"sbj_02" 17 5 "3" 5 -0.148501533269882 -0.02477647960186 -0.0624465554952621 0.000766326487064362 -0.0620448246598244 "Left"
"sbj_02" 2 1 "4" 1 -0.0269922532141209 0.0736591756343841 -0.0205263733863831 -0.0478266336023807 -0.0322984218597412 "Right"
"sbj_02" 2 1 "4" 1 0.128142198175192 0.168628877401352 0.0158022344112396 -0.0259447731077671 -0.0303441405296326 "Left"
"sbj_02" 12 2 "4" 2 0.118357881903648 0.0325573742389679 0.0801607757806778 0.0162262782454491 -0.0105865463614464 "Right"
"sbj_02" 12 2 "4" 2 -0.0441736400127411 -0.0300289541482925 0.00794007629156113 -0.0161318682134151 -0.00595289394259453 "Left"
"sbj_02" 18 3 "4" 3 0.148741489648819 0.0588629096746445 -0.0254818245768547 0.0323275029659271 0.0830329015851021 "Left"
"sbj_02" 18 3 "4" 3 0.0289259746670723 -0.0613609835505486 0.046752955019474 0.0361112251877785 0.00742277801036835 "Right"
"sbj_02" 19 4 "4" 4 -0.115362119674683 -0.147409281134605 -0.0362262681126595 0.046928271651268 0.0213451579213142 "Left"
"sbj_02" 19 4 "4" 4 -0.0299694307148457 -0.0765112310647964 0.0574898451566696 -0.00856937915086746 -0.00237866565585136 "Right"
"sbj_02" 20 5 "4" 5 0.464714151620865 0.181700077652931 0.164375460147858 0.131978394091129 -0.0133397802710533 "Right"
"sbj_02" 20 5 "4" 5 0.193851019442081 -0.00264019966125488 0.101158526539803 0.0392981052398682 0.0560345873236656 "Left"
"sbj_03" 8 1 "1" 1 -0.0610215477645397 -0.0627561122179031 0.00790148079395294 -0.0124828837811947 0.00631596744060516 "Right"
"sbj_03" 8 1 "1" 1 -0.0475635670125484 -0.0462745860219002 -0.0201276838779449 -0.00565248504281044 0.0244911879301071 "Left"
"sbj_03" 12 2 "1" 2 0.214915738999844 0.0252961561083794 0.118505448102951 0.0587114967405796 0.0124026380479336 "Left"
"sbj_03" 12 2 "1" 2 0.111753498017788 -0.0695344001054764 0.0815005108714104 0.0484071850776672 0.0513802021741867 "Right"
